dataset of size: 100000

epoch [362/500], loss:0.0067
epoch [363/500], loss:0.0082
epoch [364/500], loss:0.0066
epoch [365/500], loss:0.0067
epoch [366/500], loss:0.0072
epoch [367/500], loss:0.0074
epoch [368/500], loss:0.0080
epoch [369/500], loss:0.0081
epoch [370/500], loss:0.0066
epoch [371/500], loss:0.0091
epoch [372/500], loss:0.0082
epoch [373/500], loss:0.0072
epoch [374/500], loss:0.0079
epoch [375/500], loss:0.0068
epoch [376/500], loss:0.0085
epoch [377/500], loss:0.0081
epoch [378/500], loss:0.0069
epoch [379/500], loss:0.0064
epoch [380/500], loss:0.0071
epoch [381/500], loss:0.0075
epoch [382/500], loss:0.0066
epoch [383/500], loss:0.0090
epoch [384/500], loss:0.0063
epoch [385/500], loss:0.0078
epoch [386/500], loss:0.0071
epoch [387/500], loss:0.0090
epoch [388/500], loss:0.0083
epoch [389/500], loss:0.0079
epoch [390/500], loss:0.0075
epoch [391/500], loss:0.0083
epoch [392/500], loss:0.0077
epoch [393/500], loss:0.0088
epoch [394/500], loss:0.0075
epoch [395/500], loss:0.0089
epoch [396/500], loss:0.0088
epoch [397/500], loss:0.0083
epoch [398/500], loss:0.0071
epoch [399/500], loss:0.0077
epoch [400/500], loss:0.0075
epoch [401/500], loss:0.0066
epoch [402/500], loss:0.0089
epoch [403/500], loss:0.0078
epoch [404/500], loss:0.0081
epoch [405/500], loss:0.0076
epoch [406/500], loss:0.0092
epoch [407/500], loss:0.0083
epoch [408/500], loss:0.0061
epoch [409/500], loss:0.0081
epoch [410/500], loss:0.0074
epoch [411/500], loss:0.0089
epoch [412/500], loss:0.0087
epoch [413/500], loss:0.0050
epoch [414/500], loss:0.0078
epoch [415/500], loss:0.0077
epoch [416/500], loss:0.0100
epoch [417/500], loss:0.0064
epoch [418/500], loss:0.0066
epoch [419/500], loss:0.0077
epoch [420/500], loss:0.0073
epoch [421/500], loss:0.0090
epoch [422/500], loss:0.0079
epoch [423/500], loss:0.0093
epoch [424/500], loss:0.0088
epoch [425/500], loss:0.0077
epoch [426/500], loss:0.0070
epoch [427/500], loss:0.0080
epoch [428/500], loss:0.0069
epoch [429/500], loss:0.0076
epoch [430/500], loss:0.0084
epoch [431/500], loss:0.0097
epoch [432/500], loss:0.0078
epoch [433/500], loss:0.0086
epoch [434/500], loss:0.0079
epoch [435/500], loss:0.0071
epoch [436/500], loss:0.0068
epoch [437/500], loss:0.0084
epoch [438/500], loss:0.0087
epoch [439/500], loss:0.0078
epoch [440/500], loss:0.0070
epoch [441/500], loss:0.0078
epoch [442/500], loss:0.0088
epoch [443/500], loss:0.0077
epoch [444/500], loss:0.0078
epoch [445/500], loss:0.0086
epoch [446/500], loss:0.0082
epoch [447/500], loss:0.0063
epoch [448/500], loss:0.0060
epoch [449/500], loss:0.0072
epoch [450/500], loss:0.0075
epoch [451/500], loss:0.0085
epoch [452/500], loss:0.0071
epoch [453/500], loss:0.0078
epoch [454/500], loss:0.0083
epoch [455/500], loss:0.0084
epoch [456/500], loss:0.0078
epoch [457/500], loss:0.0072
epoch [458/500], loss:0.0079
epoch [459/500], loss:0.0086
epoch [460/500], loss:0.0073
epoch [461/500], loss:0.0082
epoch [462/500], loss:0.0062
epoch [463/500], loss:0.0071
epoch [464/500], loss:0.0094
epoch [465/500], loss:0.0061
epoch [466/500], loss:0.0072
epoch [467/500], loss:0.0081
epoch [468/500], loss:0.0075
epoch [469/500], loss:0.0074
epoch [470/500], loss:0.0074
epoch [471/500], loss:0.0087
epoch [472/500], loss:0.0086
epoch [473/500], loss:0.0087
epoch [474/500], loss:0.0067
epoch [475/500], loss:0.0072
epoch [476/500], loss:0.0089
